ID,DELIVERY_DATE,DELIVERY_TIME,DELIVERY_MODE,DELIVERY_STATUS,INVOICE_AMOUNT,TAXES,CATERING_COST,SHOW_PRICE,DISCOUNT,GUEST_COUNT,PER_PERSON_RATE,LIVE_STALL_CHARGE,SETUP_CHARGE,EVENT_FACILITY_FEE,SERVER_CHARGE,GRATUITY,CATERING_STATUS,CATERING_LOCATION
1939,6/28/2023,12:00:00,31,\N,1010,0,1000,9,60,1,0,0,50,\N,0,0,CONFIRMED,chapel
1940,6/28/2023,11:15:00,31,\N,203.88,0,228.88,9,0,12,0,0,25,\N,0,0,CONFIRMED,raleigh
1941,6/23/2023,19:00:00,30,\N,352.5,0,352.5,9,0,15,0,0,0,\N,0,0,CONFIRMED,durham
1943,6/23/2023,13:00:00,30,\N,260,0,260,9,0,1,0,0,0,\N,0,0,CONFIRMED,raleigh
1946,6/23/2023,16:00:00,30,\N,140,0,125,9,15,10,0,0,0,\N,0,0,CONFIRMED,durham
1947,6/24/2023,16:00:00,30,\N,437.5,0,390,9,47.5,10,0,0,0,\N,0,0,CONFIRMED,durham
1950,6/25/2023,11:00:00,31,\N,485,0,550,9,10,35,0,0,75,\N,0,0,CONFIRMED,chapel
1951,6/30/2023,16:30:00,32,\N,737.5,0,887.5,9,0,30,0,0,150,\N,0,0,CONFIRMED,raleigh
1952,6/24/2023,14:00:00,30,\N,140,10.5,150.5,9,0,25,0,0,0,\N,0,0,CONFIRMED,chapel
1954,6/25/2023,10:30:00,30,\N,730,0,650,9,80,50,0,0,0,\N,0,0,CONFIRMED,durham
1955,7/9/2023,17:00:00,30,\N,545,0,545,9,0,40,0,0,0,\N,0,0,CONFIRMED,raleigh
1956,6/26/2023,18:00:00,30,\N,230,0,230,9,0,25,0,0,0,\N,0,0,CONFIRMED,durham
1957,6/28/2023,17:30:00,30,\N,245,18.38,263.38,9,0,20,0,0,0,\N,0,0,CONFIRMED,raleigh
1958,7/1/2023,10:45:00,32,\N,2508.81,0,2508.81,9,150,100,0,0,150,\N,0,0,CONFIRMED,durham
1959,6/28/2023,11:00:00,30,\N,208.91,17.76,226.67,9,0,13,0,0,0,\N,0,0,CONFIRMED,raleigh
1960,7/1/2023,12:30:00,32,\N,1460,124.1,1804.1,9,0,70,0,0,100,\N,120,0,CONFIRMED,raleigh
1961,5/25/2024,16:00:00,32,\N,5525,0,6025,9,0,300,0,0,150,\N,350,0,CANCELLED,undecided
1962,5/25/2024,16:00:00,32,\N,5800,0,6300,9,0,300,0,0,150,\N,350,0,CONFIRMED,undecided
1963,6/29/2023,18:00:00,30,\N,75,5.63,80.63,9,0,20,0,0,0,\N,0,0,CONFIRMED,chapel
1964,5/26/2024,11:30:00,32,\N,9942.5,0,10442.5,9,0,400,0,0,150,\N,350,0,CONFIRMED,undecided
1965,7/2/2023,11:30:00,31,\N,892.5,0,942.5,9,0,55,0,0,50,\N,0,0,CONFIRMED,raleigh
1966,7/3/2023,14:00:00,30,\N,535,0,535,9,0,35,0,0,0,\N,0,0,CONFIRMED,chapel
1967,6/30/2023,17:00:00,30,\N,269,0,269,9,0,1,0,0,0,\N,0,0,CONFIRMED,raleigh
